StoreName,Event,occupancy,Start hr,Start Min,End hr,End Min,Day Start,Month Start,Year Start, System
Primark  Yeovil BA20 1LF  UK,Ev20240310667,true,9,30,16,0,10,3,2024,Cylon
Primark  Taunton TA1 3LS  UK,Ev20240310529,true,10,30,16,30,10,3,2024,Trend
Primark  Sheffield S9 1ER  UK,Ev20240311642,true,9,30,21,0,11,3,2024,Trend
Primark  Sheffield S9 1ER  UK,Ev20240312642,true,9,30,21,0,12,3,2024,Trend
Primark  Sheffield S9 1ER  UK,Ev20240313642,true,9,30,21,0,13,3,2024,Trend
Primark  Sheffield S9 1ER  UK,Ev20240314642,true,9,30,21,0,14,3,2024,Trend
Primark  Sheffield S9 1ER  UK,Ev20240308642,true,9,30,21,0,8,3,2024,Trend
Primark  Sheffield S9 1ER  UK,Ev20240309642,true,9,0,20,0,9,3,2024,Trend
Primark  Leicester LE19 1HX  UK,Ev20240310477,true,11,0,17,0,10,3,2024,Trend
Primark  Sheffield S1 4PA  UK,Ev20240310489,true,11,0,17,0,10,3,2024,Trend
Primark  Banbury OX16 3AB  UK,Ev20240310693,true,11,0,17,0,10,3,2024,Trend
Primark  Corby NN17 1BH  UK,Ev20240310648,true,10,30,16,30,10,3,2024,Cylon
Primark  Leicester LE1 3PH  UK,Ev20240310499,true,11,0,17,0,10,3,2024,Cylon
Primark  Northampton NN1 2EW  UK,Ev20240310691,true,10,0,16,30,10,3,2024,Trend
Primark  Nottingham NG1 2DZ  UK,Ev20240310628,true,11,0,17,0,10,3,2024,Trend
Primark  Redditch B97 4EX  UK,Ev20240314643,true,9,0,18,0,14,3,2024,Trend
Primark  Shrewsbury SY1 1PL  UK,Ev20240310488,true,10,0,16,30,10,3,2024,Trend
Primark  Stoke-on-Trent ST1 1PS  UK,Ev20240311619,true,9,0,18,0,11,3,2024,Trend
Primark  Stoke-on-Trent ST1 1PS  UK,Ev20240312619,true,9,0,18,0,12,3,2024,Trend
Primark  Stoke-on-Trent ST1 1PS  UK,Ev20240313619,true,9,0,18,0,13,3,2024,Trend
Primark  Stoke-on-Trent ST1 1PS  UK,Ev20240314619,true,9,0,18,0,14,3,2024,Trend
Primark  Stoke-on-Trent ST1 1PS  UK,Ev20240308619,true,9,0,18,0,8,3,2024,Trend
Primark  Stoke-on-Trent ST1 1PS  UK,Ev20240309619,true,9,0,18,0,9,3,2024,Trend
Primark  Bedford MK40 1TJ  UK,Ev20240310601,true,10,30,16,30,10,3,2024,Cylon
Primark  Gloucester GL1 1SS  UK,Ev20240310447,true,10,0,16,30,10,3,2024,Trend
Primark  Worcester WR1 3LD  UK,Ev20240310660,true,10,0,16,30,10,3,2024,Trend
Primark  Rotherham S60 1TG  UK,Ev20240311443,true,9,0,20,0,11,3,2024,Trend
Primark  Rotherham S60 1TG  UK,Ev20240312443,true,9,0,20,0,12,3,2024,Trend
Primark  Rotherham S60 1TG  UK,Ev20240313443,true,9,0,20,0,13,3,2024,Trend
Primark  Rotherham S60 1TG  UK,Ev20240314443,true,9,0,20,0,14,3,2024,Trend
Primark  Rotherham S60 1TG  UK,Ev20240308443,true,9,0,20,0,8,3,2024,Trend
Primark  Rotherham S60 1TG  UK,Ev20240309443,true,9,0,19,0,9,3,2024,Trend
Primark  Rotherham S60 1TG  UK,Ev20240310443,true,10,30,16,30,10,3,2024,Trend
Primark  Milton Keynes MK1 1ST  UK,Ev20240310675,true,10,30,17,0,10,3,2024,Trend
Primark  Chesterfield S40 1PJ  UK,Ev20240314608,true,9,0,17,30,14,3,2024,Cylon
Primark  Chesterfield S40 1PJ  UK,Ev20240309608,true,8,30,17,30,9,3,2024,Cylon
Primark  Oldham OL1 3AB  UK,Ev20240311440,true,8,30,18,0,11,3,2024,Trend
Primark  Oldham OL1 3AB  UK,Ev20240312440,true,8,30,18,0,12,3,2024,Trend
Primark  Oldham OL1 3AB  UK,Ev20240313440,true,8,30,18,0,13,3,2024,Trend
Primark  Oldham OL1 3AB  UK,Ev20240314440,true,8,30,18,0,14,3,2024,Trend
Primark  Oldham OL1 3AB  UK,Ev20240308440,true,8,30,18,0,8,3,2024,Trend
Primark  Oldham OL1 3AB  UK,Ev20240309440,true,8,30,18,0,9,3,2024,Trend
Primark  Doncaster DN1 1LQ  UK,Ev20240310611,true,9,30,16,0,10,3,2024,Trend
Primark  Newcastle upon Tyne NE1 7DF  UK,Ev20240310534,true,10,30,17,0,10,3,2024,Trend
Primark  Glasgow G2 3ER  UK,Ev20240314541,true,9,0,18,30,14,3,2024,Trend
Primark  Glasgow G2 3ER  UK,Ev20240308541,true,9,0,18,30,8,3,2024,Trend
Primark  Glasgow G2 3ER  UK,Ev20240309541,true,9,0,18,30,9,3,2024,Trend
Primark  Stirling FK8 2EA  UK,Ev20240314537,true,8,30,17,30,14,3,2024,Trend
Primark  London W1D 1AU  UK,Ev20240310674,true,11,30,18,0,10,3,2024,Cylon
Primark  Luton LU1 2BD  UK,Ev20240310625,true,11,0,17,0,10,3,2024,Cylon
Primark  Reading RG1 2BD  UK,Ev20240310699,true,11,0,17,0,10,3,2024,Trend
Primark  Slough SL1 1LE  UK,Ev20240310573,true,11,0,17,0,10,3,2024,Cylon
Primark  High Wycombe HP13 5ES  UK,Ev20240310647,true,11,0,17,0,10,3,2024,Cylon
Primark  Basingstoke RG21 7QU  UK,Ev20240310645,true,10,30,17,0,10,3,2024,Trend
Primark  Guildford GU1 4YW  UK,Ev20240310655,true,10,30,17,0,10,3,2024,Trend
Primark  Hounslow TW3 1QL  UK,Ev20240310506,true,10,45,17,0,10,3,2024,Trend
Primark  Kingston upon Thames KT1 1DJ  UK,Ev20240310581,true,11,0,17,0,10,3,2024,Trend
Primark  Hemel Hempstead HP1 1BJ  UK,Ev20240311524,true,9,0,18,0,11,3,2024,Cylon
Primark  Hemel Hempstead HP1 1BJ  UK,Ev20240312524,true,9,0,18,0,12,3,2024,Cylon
Primark  Hemel Hempstead HP1 1BJ  UK,Ev20240313524,true,9,0,18,0,13,3,2024,Cylon
Primark  Hemel Hempstead HP1 1BJ  UK,Ev20240314524,true,9,0,18,0,14,3,2024,Cylon
Primark  Hemel Hempstead HP1 1BJ  UK,Ev20240308524,true,9,0,18,0,8,3,2024,Cylon
Primark  Hemel Hempstead HP1 1BJ  UK,Ev20240310524,true,11,0,17,0,10,3,2024,Cylon
Primark  Warrington WA1 1TD  UK,Ev20240310681,true,11,0,17,0,10,3,2024,Trend
Primark  Birkenhead CH41 6EA  UK,Ev20240310575,true,10,30,16,30,10,3,2024,Cylon
Primark  Wigan WN1 1UP  UK,Ev20240310530,true,10,30,16,30,10,3,2024,Trend
Primark  Truro TR1 2LW  UK,Ev20240310480,true,10,30,16,30,10,3,2024,Trend
